YB,l,b,Dist,e_Dist,HDist,f_HDist,Mass,e_Mass,Lum,e_Lum,Diam,e_Diam,Ratio,e_Ratio,Tgray,e_Tgray,Lratio,e_Lratio,TBol,e_TBol,SDen,e_SDen
1483,35.6734,-0.2455,2.14,0.17,10.031,B,18.19,18.26,287.05,73.32,0.17,0.01,15.78,16.34,19.91,0.85,111.83,22.37,49.02,9.8,0.172,0.173
1484,35.679,0.3019,10.29,0.29,10.085,B,3969.87,594.01,1064.01,59.97,1.51,0.04,0.27,0.04,10.66,0.3,9.43,1.89,31.24,6.25,0.465,0.07
1486,35.746,0.1575,4.94,0.4,5.611,G,1304.43,242.14,6868.55,1112.32,0.41,0.03,5.27,1.3,16.83,0.24,56.64,11.33,50.02,10,2.016,0.374
1487,35.8231,-0.8691,3.55,0.37,3.931,G,290.43,77.48,521.98,108.81,0.49,0.05,1.8,0.61,12.68,0.48,37.8,7.56,45.53,9.11,0.323,0.086
1490,35.9484,-0.1475,3.3,0.53,3.549,G,150.04,51.03,2305.41,740.53,0.31,0.05,15.37,7.19,18.98,0.66,122.27,24.45,51.04,10.21,0.414,0.141
1491,36.0387,0.2649,4.61,0.39,8.94,B,152.92,37.12,205.69,34.8,0.34,0.03,1.35,0.4,14.05,0.66,21.54,4.31,34.24,6.85,0.344,0.084
1493,36.2218,0.073,2.21,0.17,8.419,B,33.96,33.94,90.66,22.88,0.18,0.01,2.67,2.75,15.06,0.36,35.83,7.17,39,7.8,0.283,0.283
1495,36.3566,-0.7006,3.56,0.45,9.915,B,74.25,75.95,135.37,43.64,0.33,0.04,1.82,1.96,14.35,0.36,27.54,5.51,36.62,7.32,0.18,0.184
1496,36.3721,0.6423,4.51,0.37,8.862,B,435.16,81.77,315.14,51.71,0.48,0.04,0.72,0.18,12.15,0.24,17.25,3.45,36.3,7.26,0.495,0.093
1500,36.406,0.024,10.11,0.33,9.977,B,2679.41,199.58,101916.45,6653.3,0.54,0.02,38.04,3.77,26.39,0.3,168.53,33.71,50.99,10.2,2.483,0.185
1501,36.4077,0.1308,10.22,0.34,10.014,B,1601.45,314.2,1316.83,87.62,1.18,0.04,0.82,0.17,11.49,0.36,22.91,4.58,43.96,8.79,0.308,0.06
1503,36.48,-0.2719,4.59,0.38,0,N,85.12,18.79,97.33,16.12,0.38,0.03,1.14,0.32,15.1,0.6,15.2,3.04,23.4,4.68,0.159,0.035
1504,36.4981,0.7322,4.46,0.38,8.895,B,41.99,42.15,319.09,83.84,0.32,0.03,7.6,7.88,17.49,0.66,71.26,14.25,44.25,8.85,0.111,0.111
1505,36.5138,0.9864,2.14,0.2,0.543,G,18.48,49.05,208.44,57.06,0.2,0.02,11.28,30.08,17.79,0.3,101.65,20.33,46.99,9.4,0.122,0.324
1506,36.5536,-0.5437,10.15,0.25,10.285,B,115.04,114.23,1517.45,312.56,0.76,0.02,13.19,13.38,21.39,0.85,80.99,16.2,40.51,8.1,0.053,0.053
1507,36.5773,-0.5026,10.15,0.25,10.226,B,552.07,548.06,3610.05,743.59,0.93,0.02,6.54,6.63,16.18,0.48,73.53,14.71,52.43,10.49,0.168,0.167
1508,36.6352,-0.2307,8.2,0.79,8.175,G,136.74,137.49,1381.38,383.63,0.59,0.06,10.1,10.54,17.67,0.54,91.89,18.38,46.28,9.26,0.106,0.107
1509,36.6451,-0.6104,10.01,0.27,9.891,B,596.75,592.11,8292.9,1717.86,0.78,0.02,13.9,14.09,18.37,0.54,117.9,23.58,48.99,9.8,0.258,0.256
1511,36.7001,0.0866,10.01,0.36,9.635,G,513.99,44.22,2184.01,157.09,0.64,0.02,4.25,0.48,15.78,0.22,51.01,10.2,46.99,9.4,0.335,0.029
1513,36.7704,-0.2966,4.51,0.38,8.142,B,86.68,19.69,812.99,137,0.27,0.02,9.38,2.65,18.83,0.6,75.67,15.13,45.54,9.11,0.327,0.074
1515,36.7888,-0.2036,4.67,0.39,8.421,B,579.26,157.72,1606.41,268.31,0.46,0.04,2.77,0.89,14.87,0.78,38.82,7.76,41.63,8.33,0.732,0.199
1517,36.8407,0.1177,9.99,0.37,9.735,B,534.8,531.23,4995.74,1065.48,0.71,0.03,9.34,9.49,17.84,0.48,83.98,16.8,45.76,9.15,0.281,0.279
1519,36.853,-0.1305,4.77,0.4,8.215,B,415.95,107.67,402.2,67.45,0.53,0.04,0.97,0.3,14.87,0.78,13.43,2.69,22.47,4.49,0.4,0.104
1520,36.8681,0.4612,12.55,0.28,12.676,B,286.36,285.21,4402.37,902.12,0.81,0.02,15.37,15.63,18.49,0.96,127.38,25.48,51.41,10.28,0.115,0.115
1521,36.877,0.5008,12.56,0.28,12.674,B,576.17,574.1,2778.51,569.34,2.12,0.05,4.82,4.91,16.01,1.03,54.68,10.94,55.44,11.09,0.034,0.034
1522,36.8944,-0.1339,4.77,0.4,8.23,B,375.13,75.38,2562.67,429.8,0.51,0.04,6.83,1.79,17.07,0.48,68.51,13.7,44.46,8.89,0.378,0.076
1525,36.9198,0.4826,12.56,0.28,0,N,842.4,45.25,35597.1,1587.13,0.62,0.01,42.26,2.95,24.87,0.22,198.46,39.69,59.7,11.94,0.591,0.032
1526,36.9949,-0.2312,10.1,0.29,10.002,B,453.26,450.07,22047.53,4587.67,1.04,0.03,48.64,49.35,25.49,1.27,215.63,43.13,49.67,9.93,0.111,0.11
1527,37.0414,-0.0324,4.8,0.4,5.626,G,801.08,140.87,5973.1,995.52,0.33,0.03,7.46,1.81,18.32,0.24,66.35,13.27,43.74,8.75,1.938,0.341
1528,37.149,0.3055,2.2,0.15,11.446,B,21.51,21.56,93.58,22.65,0.18,0.01,4.35,4.49,16.18,0.48,48.53,9.71,41.83,8.37,0.177,0.177
1529,37.1648,-0.356,2.22,0.2,10.694,B,26.41,26.67,100.44,27.04,0.27,0.02,3.8,3.97,15.88,1.39,44.28,8.86,39.55,7.91,0.1,0.101
1530,37.2582,-0.3764,9.85,0.3,9.569,B,52.75,52.35,1181.18,246.95,0.59,0.02,22.39,22.71,21.28,0.96,139.97,27.99,52.21,10.44,0.04,0.04
1531,37.2781,0.0992,4.99,0.49,0,N,339.39,91.2,1840.62,361.48,1.28,0.13,5.42,1.81,15.23,0.6,70.94,14.19,48.89,9.78,0.055,0.015
1532,37.2831,-0.4516,4.66,0.38,8.216,B,54.94,55.03,266.62,68.81,0.38,0.03,4.85,5.02,16.36,0.9,53.4,10.68,43.51,8.7,0.1,0.1
1533,37.3182,0.1625,4.98,0.51,0,N,241.8,55.95,4940.98,1012.01,0.36,0.04,20.43,6.31,20.1,0.78,144.58,28.92,48.44,9.69,0.485,0.112
1536,37.3404,-0.0607,9.98,0.31,9.827,G,2771.15,436.07,27940.53,1735.78,0.69,0.02,10.08,1.71,19.98,0.78,74.11,14.82,43.9,8.78,1.57,0.247
1537,37.3419,0.6857,0.54,0.19,0.252,G,9,6.51,41.01,28.86,0.08,0.03,4.56,4.6,14.34,0.6,69.19,13.84,53.65,10.73,0.373,0.27
1538,37.3545,-0.232,10.47,0.46,10.843,G,1764.96,1759.23,19586.51,4278.71,1.44,0.06,11.1,11.32,16.54,0.72,117.42,23.48,61.69,12.34,0.227,0.226
1539,37.3641,-0.2359,10.43,0.45,10.841,G,5138.77,768.4,14808.3,1277.8,1.04,0.04,2.88,0.5,14.34,0.3,44.75,8.95,47.48,9.5,1.258,0.188
1540,37.381,-0.0818,4.89,0.44,0,N,82.26,18.02,2590.88,466.25,0.2,0.02,31.5,8.93,24.55,0.9,151.75,30.35,47.2,9.44,0.556,0.122
