YB,l,b,Dist,e_Dist,HDist,f_HDist,Mass,e_Mass,Lum,e_Lum,Diam,e_Diam,Ratio,e_Ratio,Tgray,e_Tgray,Lratio,e_Lratio,TBol,e_TBol,SDen,e_SDen
1600,38.8044,0.0995,11.99,0.32,11.875,B,411.71,409.78,9565.56,1980.08,1.12,0.03,23.23,23.62,23.64,1.39,118.47,23.69,42.13,8.43,0.087,0.087
1601,38.8574,-0.524,1.91,0.07,2.85,G,47.52,42.4,154.95,33.01,0.23,0.01,3.26,2.99,15.53,0.42,40.3,8.06,38.79,7.76,0.237,0.211
1602,38.8748,0.0561,1.91,0.07,10.521,B,12.27,12.2,52.07,11.09,0.16,0.01,4.24,4.32,16.13,0.54,47.92,9.58,40.83,8.17,0.122,0.121
1603,38.8753,0.309,12.1,0.3,11.988,B,1188.58,129.42,107445.06,5327.85,0.67,0.02,90.4,10.82,26.02,0.72,392.98,78.6,53.55,10.71,0.714,0.078
1604,38.8788,-0.1474,3.42,0.11,9.065,B,127.2,31.58,349.55,22.49,0.27,0.01,2.75,0.7,15.24,0.6,36.03,7.21,40.33,8.07,0.461,0.114
1605,38.9052,-0.4619,1.91,0.07,2.768,G,73.78,20.14,170.92,12.53,0.24,0.01,2.32,0.65,14.05,0.85,37.11,7.42,43.74,8.75,0.352,0.096
1606,38.9146,-0.1482,9.57,0.34,9.147,B,1278.93,1270.49,4626.4,981.94,1.77,0.06,3.62,3.67,14.58,1.03,52.18,10.44,43.87,8.77,0.109,0.108
1607,38.9147,-0.1941,1.91,0.07,9.028,B,8.98,8.92,88.18,18.78,0.18,0.01,9.82,9.97,18.2,0.9,85.13,17.03,45.17,9.03,0.075,0.074
1608,38.9263,-0.3521,10.2,0.07,10.576,G,13058.86,1189.03,29528.05,405.29,0.94,0.01,2.26,0.21,15.24,0.3,32.17,6.43,41.72,8.34,3.951,0.36
1611,38.9545,0.2709,12.22,0.29,12.483,B,511.45,509.07,8945.17,1838.72,0.77,0.02,17.49,17.78,18.84,0.42,140.54,28.11,49.53,9.91,0.23,0.229
1612,38.9802,-0.2726,9.85,0.33,10.562,B,765.96,62.6,6715.15,449.95,0.82,0.03,8.77,0.93,17.27,0.22,85.44,17.09,45.12,9.02,0.304,0.025
1613,39.0537,0.2179,12.32,0.3,12.837,B,6570.96,1443.28,624.36,30.41,1.75,0.04,0.1,0.02,8.88,0.36,6.18,1.24,36.71,7.34,0.571,0.125
1616,39.1606,0.736,1.92,0.07,7.791,B,6.97,6.91,15.08,3.21,0.14,0.01,2.16,2.19,14.04,0.66,34.68,6.94,41.52,8.3,0.1,0.099
1617,39.1612,-0.1659,1.91,0.07,9.572,B,14.83,14.73,135.49,28.86,0.12,0.004,9.14,9.28,17.26,0.48,89.01,17.8,49.34,9.87,0.276,0.274
1618,39.1705,0.5789,1.9,0.07,11.784,B,14.58,14.53,24.74,5.27,0.14,0.01,1.7,1.73,13.69,0.36,28.93,5.79,41.75,8.35,0.212,0.211
1619,39.1889,-0.5646,4.16,0.45,8.585,B,59.69,60.36,201.06,59.24,0.31,0.03,3.37,3.55,15.24,0.36,43.79,8.76,43.91,8.78,0.168,0.17
1620,39.1955,0.2243,1.92,0.07,11.123,B,9.81,0.93,1107.9,80.78,0.09,0.003,112.88,13.48,29.9,0.78,382.98,76.6,58.21,11.64,0.348,0.033
1621,39.2144,0.2024,1.92,0.07,10.72,B,5.41,5.39,242.04,51.52,0.09,0.003,44.71,45.49,22.29,0.6,255.93,51.19,54.76,10.95,0.181,0.18
1622,39.2384,-0.5558,3.43,0.11,8.759,B,11.91,11.82,131.16,27.55,0.12,0.004,11.01,11.16,18.86,1.03,88.99,17.8,50.04,10.01,0.21,0.208
1623,39.2451,-0.0624,11.76,0.36,11.637,G,3466.7,849.31,33730.31,2065.12,0.72,0.02,9.73,2.46,13.75,1.45,170.41,34.08,61.2,12.24,1.761,0.431
1627,39.2766,0.0364,12.06,0.31,12.254,B,33.13,32.99,760.97,157.14,0.19,0.005,22.97,23.36,22.95,1.21,123.9,24.78,44.36,8.87,0.249,0.248
1628,39.2951,-0.2557,3.42,0.11,8.359,B,37.43,37.04,292.47,61.45,0.23,0.01,7.81,7.91,17.19,0.54,76.69,15.34,46.07,9.21,0.182,0.18
1630,39.3091,-0.309,3.41,0.11,8.732,B,14.12,13.99,88.09,18.51,0.25,0.01,6.24,6.32,17.12,0.66,61.92,12.38,44.19,8.84,0.06,0.059
1631,39.3314,0.3366,12.01,0.32,11.836,B,398.25,396.33,839.03,173.66,1.03,0.03,2.11,2.14,14.7,0.42,29.91,5.98,37.13,7.43,0.1,0.1
1633,39.3622,-0.3317,3.41,0.11,8.792,B,74.09,73.42,330.06,69.36,0.34,0.01,4.45,4.51,16,0.48,51.6,10.32,41.6,8.32,0.173,0.171
1634,39.3884,-0.1436,3.41,0.11,4.548,G,184.94,15.45,11362.18,733.04,0.14,0.005,61.44,6.48,30.13,0.6,216.75,43.35,47.36,9.47,2.439,0.204
1635,39.3977,0.1057,3.39,0.11,0,N,34.02,15.78,59.99,3.89,0.38,0.01,1.76,0.83,12.97,1.33,35.79,7.16,45.07,9.01,0.064,0.03
1636,39.4334,-0.1877,9.65,0.32,9.633,B,977.62,148.28,9876.13,655,0.74,0.02,10.1,1.67,18.32,0.6,86.78,17.36,47.27,9.45,0.475,0.072
1637,39.4665,-0.1329,9.44,0.33,0,N,26.73,9.11,654.09,45.73,0.48,0.02,24.47,8.51,23.3,1.87,126.62,25.32,43.34,8.67,0.03,0.01
1638,39.491,0.6736,1.91,0.07,11.286,B,5.73,5.71,115.59,24.62,0.17,0.01,20.16,20.53,20.4,0.78,136,27.2,48.8,9.76,0.056,0.056
1639,39.5059,-0.2808,9.43,0.32,9.251,B,860.62,853.8,12801.47,2703.69,1.14,0.04,14.87,15.09,15.59,0.54,182.32,36.46,51.55,10.31,0.177,0.176
1640,39.5143,0.6325,1.9,0.07,11.653,B,7.02,6.99,19.34,4.12,0.19,0.01,2.76,2.81,15.82,0.42,32.75,6.55,35.86,7.17,0.054,0.054
1641,39.5281,-0.4555,0.69,0.23,6.604,B,9.22,6.37,14.38,9.59,0.09,0.03,1.56,1.5,13.51,0.42,27.68,5.54,39.83,7.97,0.315,0.218
1643,39.5364,0.8705,1.91,0.07,2.067,G,42.47,3.48,311.1,22.8,0.14,0.01,7.33,0.81,16.92,0.22,75.25,15.05,51.97,10.39,0.578,0.047
1645,39.5452,-0.3661,9.32,0.33,8.98,G,345.52,343.26,7196.54,1526.87,1.84,0.07,20.83,21.16,18.12,1.21,179.28,35.86,56.53,11.31,0.027,0.027
1647,39.5526,-0.4288,9.38,0.32,9.166,B,546.06,135.37,1417.33,96.7,0.68,0.02,2.6,0.67,13.7,0.54,44.37,8.87,45.43,9.09,0.312,0.077
1648,39.5528,-0.1643,9.56,0.32,9.516,B,2458.85,2442.28,3512.49,740.81,1.8,0.06,1.43,1.45,13.46,0.66,25.22,5.04,38.94,7.79,0.201,0.2
1650,39.563,-0.4245,9.39,0.32,9.14,B,323.53,49.39,1985.13,135.3,0.5,0.02,6.14,1.03,17.54,0.6,57.82,11.56,44.54,8.91,0.339,0.052
1651,39.5669,0.4132,1.92,0.07,10.781,B,24.38,24.25,46.02,9.8,0.19,0.01,1.89,1.92,13.57,0.24,32.97,6.59,43.08,8.62,0.178,0.177
1653,39.5753,0.0106,11.77,0.35,11.551,B,2876,872.25,3032.64,180.36,0.99,0.03,1.05,0.33,11.92,0.9,26.72,5.34,51.16,10.23,0.777,0.236
1654,39.5827,-0.1857,9.53,0.32,9.401,B,1325.83,1317.27,4595.27,969.48,1.09,0.04,3.47,3.52,14.93,0.72,47.92,9.58,42.31,8.46,0.296,0.294
1656,39.6488,-0.2934,3.41,0.11,7.723,B,47.66,47.04,912.72,191.81,0.27,0.01,19.15,19.32,19.98,0.66,135.62,27.12,47.7,9.54,0.17,0.168
1657,39.6652,-0.1546,9.38,0.34,0,N,2301.67,1021.15,1288.09,93.38,1.47,0.05,0.56,0.25,11.14,0.96,17.06,3.41,42.8,8.56,0.282,0.125
1658,39.6721,-0.4577,0.66,0.22,8.755,B,2.21,2.63,132.79,92.42,0.05,0.02,60.06,82.89,23.12,0.6,318.31,63.66,55.16,11.03,0.262,0.312
1659,39.7283,-0.3971,9.27,0.33,8.94,G,1987.41,1970.87,24683.69,5240.22,1.39,0.05,12.42,12.6,16.59,0.6,131.62,26.32,53.32,10.66,0.274,0.272
1660,39.7322,0.4398,1.91,0.07,10.887,B,16.1,16.03,54.24,11.55,0.19,0.01,3.37,3.43,14.63,0.42,48.12,9.62,44.84,8.97,0.117,0.116
1661,39.835,-0.2338,9.37,0.33,9.142,B,554.57,551.04,3084.54,654.05,1.16,0.04,5.56,5.65,16.36,1.15,61.27,12.25,42.66,8.53,0.111,0.11
1662,39.8498,-0.1985,9.39,0.33,9.183,B,8315.2,767.25,1573.68,110.61,1.61,0.06,0.19,0.02,10.72,0.12,6.6,1.32,28.69,5.74,0.852,0.079
1663,39.8535,-0.209,9.4,0.33,9.181,B,2318.8,593.07,3606.45,253.22,1.13,0.04,1.56,0.41,13.34,0.54,28.65,5.73,45.18,9.04,0.48,0.123
1664,39.8562,-0.131,9.39,0.34,8.168,B,179.31,177.57,965.94,205.46,0.89,0.03,5.39,5.46,15.95,0.66,63.18,12.64,43.83,8.77,0.06,0.059
1666,39.8827,-0.3461,9.32,0.32,9.032,G,1898.33,180.24,90658.71,6225.49,0.56,0.02,47.76,5.6,23.48,0.36,255.96,51.19,54.15,10.83,1.588,0.151
1667,39.8987,-0.0757,3.39,0.11,7.709,B,96.9,95.71,246.01,51.73,0.3,0.01,2.54,2.56,14.99,0.6,34.64,6.93,39.04,7.81,0.293,0.289
1668,39.9285,-0.3746,9.25,0.33,8.943,B,1992.23,332.81,8110.32,578.68,0.96,0.03,4.07,0.74,14.23,0.42,63.44,12.69,60.25,12.05,0.573,0.096
1669,39.9341,0.133,11.97,0.3,12.12,B,486.31,483.69,4332.14,893.23,1.27,0.03,8.91,9.05,19.96,0.2,63.4,12.68,36.88,7.38,0.08,0.08
