YB,l,b,---,HIGALBM,[CUS2014],CORNISH,CType,RMS,RType,WISE,WType
1562,37.77987857,0.107322813,HIGALBM,37.7806+0.1082,                ,                 ,               ,0,                    ,               , 
1563,37.8000159,-0.371952127,HIGALBM,37.8003-0.3716,G037.8008-0.3712,                 ,               ,0,                    ,               , 
1564,37.81466988,-0.379028059,HIGALBM,37.8176-0.3806,G037.8189-0.3828,                 ,               ,0,                    ,G037.816-00.379,K
1565,37.81959582,0.413304121,HIGALBM,37.8196+0.4124,G037.8198+0.4124,G037.8197+00.4140,UCHII          ,4918,HII region          ,G037.820+00.414,K
1566,37.82239878,-0.299957997,HIGALBM,37.8226-0.3001,                ,                 ,               ,0,                    ,               , 
1567,37.82543348,0.405362636,       ,              ,                ,                 ,               ,0,                    ,               , 
1568,37.8606775,0.145303573,HIGALBM,37.8606+0.1435,                ,                 ,               ,0,                    ,               , 
1569,37.8657905,-0.602697605,HIGALBM,37.8686-0.6004,G037.8674-0.6011,G037.8683-00.6008,UCHII          ,3346,HII region          ,G037.868-00.601,K
1570,37.87427929,-0.399754263,HIGALBM,37.8729-0.3989,G037.8734-0.3997,G037.8731-00.3996,UCHII          ,3341,HII region          ,G037.872-00.399,K
1571,37.90103272,0.318774681,HIGALBM,37.9010+0.3182,                ,                 ,               ,0,                    ,               , 
1572,37.94966598,-0.489120745,HIGALBM,37.9502-0.4889,                ,                 ,               ,0,                    ,               , 
1573,37.97197638,-0.096195425,HIGALBM,37.9722-0.0961,                ,G037.9723-00.0965,UCHII          ,0,                    ,G037.972-00.097,C
1574,38.07177694,0.312416843,HIGALBM,38.0717+0.3124,                ,                 ,               ,0,                    ,               , 
1575,38.09172014,0.277635635,HIGALBM,38.0917+0.2775,                ,                 ,               ,0,                    ,               , 
1576,38.09806088,0.355061318,HIGALBM,38.0985+0.3550,                ,                 ,               ,0,                    ,               , 
1577,38.09942169,0.675023026,HIGALBM,38.1020+0.6739,                ,                 ,               ,0,                    ,               , 
1578,38.12182116,-0.225387886,HIGALBM,38.1189-0.2284,G038.1191-0.2296,                 ,               ,3335,HII region          ,G038.121-00.226,K
1579,38.19083806,-0.16067924,HIGALBM,38.1907-0.1607,G038.1941-0.1587,                 ,               ,0,                    ,               , 
1580,38.22140415,0.24816073,HIGALBM,38.2226+0.2478,                ,                 ,               ,0,                    ,G038.222+00.248,Q
1581,38.26379772,0.620479389,HIGALBM,38.2627+0.6197,                ,                 ,               ,0,                    ,G038.264+00.621,Q
1582,38.29718191,-0.209762244,HIGALBM,38.2970-0.2094,                ,                 ,               ,0,                    ,               , 
1583,38.30376716,0.110923968,       ,              ,                ,                 ,               ,0,                    ,               , 
1584,38.30961577,0.907170767,       ,              ,                ,                 ,               ,0,                    ,               , 
1585,38.32969029,-0.223402469,       ,              ,                ,                 ,               ,0,                    ,               , 
1586,38.3460766,-0.055771442,HIGALBM,38.3461-0.0557,                ,                 ,               ,0,                    ,               , 
1587,38.35882667,0.001989662,HIGALBM,38.3587+0.0022,                ,                 ,               ,0,                    ,               , 
1588,38.37724309,0.170241264,HIGALBM,38.3765+0.1721,                ,                 ,               ,0,                    ,G038.376+00.171,Q
1589,38.46480941,-0.06412856,HIGALBM,38.4647-0.0638,G038.4647-0.0655,                 ,               ,0,                    ,G038.463-00.066,Q
1590,38.53007013,0.230263757,HIGALBM,38.5300+0.2299,                ,                 ,               ,0,                    ,               , 
1591,38.53959886,-0.30300386,HIGALBM,38.5399-0.3025,                ,                 ,               ,0,                    ,               , 
1592,38.54985364,0.162819438,HIGALBM,38.5546+0.1627,G038.5555+0.1634,G038.5493+00.1646,UCHII          ,3331,HII region          ,G038.550+00.163,K
1593,38.62138666,-0.188057193,HIGALBM,38.6221-0.1886,                ,                 ,               ,0,                    ,               , 
1594,38.64639689,-0.226082376,HIGALBM,38.6463-0.2258,G038.6464-0.2260,G038.6465-00.2260,UCHII          ,3349,HII region          ,G038.643-00.227,K
1595,38.6932993,-0.452228101,HIGALBM,38.6931-0.4520,G038.6940-0.4521,G038.6934-00.4524,UCHII          ,3358,HII region          ,G038.693-00.452,C
1596,38.72273446,-0.13077799,HIGALBM,38.7229-0.1301,                ,                 ,               ,0,                    ,               , 
1597,38.75230598,0.176083739,HIGALBM,38.7522+0.1756,G038.7524+0.1769,                 ,               ,0,                    ,G038.750+00.177,Q
1598,38.75456969,-0.526601227,HIGALBM,38.7539-0.5273,                ,                 ,               ,0,                    ,G038.757-00.525,Q
1599,38.77822012,0.10091226,HIGALBM,38.7781+0.1013,                ,                 ,               ,0,                    ,G038.778+00.102,Q
1600,38.80441134,0.099529676,HIGALBM,38.8051+0.0979,                ,                 ,               ,0,                    ,G038.805+00.100,Q
1601,38.85738222,-0.524048973,HIGALBM,38.8576-0.5223,                ,                 ,               ,0,                    ,               , 
1602,38.87480545,0.056095959,HIGALBM,38.8741+0.0601,                ,                 ,               ,0,                    ,G038.874+00.056,Q
1603,38.87529545,0.309002422,HIGALBM,38.8755+0.3084,G038.8758+0.3089,G038.8756+00.3080,UCHII          ,3333,HII region          ,G038.875+00.308,K
1604,38.87880202,-0.147363297,HIGALBM,38.8788-0.1471,                ,                 ,               ,0,                    ,               , 
1605,38.90522878,-0.461908043,HIGALBM,38.9055-0.4616,G038.9088-0.4622,                 ,               ,0,                    ,               , 
1606,38.91456114,-0.148241447,HIGALBM,38.9129-0.1490,                ,                 ,               ,0,                    ,G038.915-00.149,Q
1607,38.91465789,-0.194108258,HIGALBM,38.9150-0.1936,                ,                 ,               ,0,                    ,               , 
1608,38.92630429,-0.35209623,HIGALBM,38.9214-0.3515,G038.9208-0.3510,                 ,               ,0,                    ,G038.925-00.356,G
1610,38.93252408,0.399493802,       ,              ,                ,                 ,               ,0,                    ,               , 
1611,38.95445004,0.27091145,HIGALBM,38.9547+0.2712,                ,                 ,               ,0,                    ,               , 
1612,38.98018077,-0.272612515,HIGALBM,38.9804-0.2713,                ,                 ,               ,0,                    ,G038.978-00.269,K
1613,39.05374516,0.217852691,HIGALBM,39.0536+0.2181,                ,                 ,               ,0,                    ,               , 
1614,39.11260438,0.504226171,       ,              ,                ,                 ,               ,0,                    ,               , 
1615,39.15068143,-0.286562689,       ,              ,                ,                 ,               ,0,                    ,               , 
1616,39.16055776,0.736032284,HIGALBM,39.1608+0.7362,                ,                 ,               ,0,                    ,               , 
1617,39.16115004,-0.165936479,HIGALBM,39.1612-0.1655,                ,                 ,               ,0,                    ,               , 
1618,39.17054553,0.578869675,HIGALBM,39.1748+0.5804,                ,                 ,               ,0,                    ,               , 
1619,39.1888564,-0.564630864,HIGALBM,39.1892-0.5647,                ,                 ,               ,0,                    ,               , 
1620,39.19554624,0.224348845,HIGALBM,39.1956+0.2253,G039.1949+0.2259,G039.1956+00.2255,UCHII          ,3342,HII region          ,G039.196+00.224,K
1621,39.21443576,0.2023756,HIGALBM,39.2150+0.2020,                ,                 ,               ,0,                    ,G039.213+00.202,C
1622,39.23843762,-0.555813842,HIGALBM,39.2387-0.5555,                ,                 ,               ,0,                    ,               , 
1623,39.2451128,-0.062390677,HIGALBM,39.2451-0.0661,G039.2456-0.0669,G039.2450-00.0673,HII-Region     ,0,                    ,               , 
1624,39.24919117,-0.063942319,       ,              ,                ,                 ,               ,3353,Diffuse HII region  ,G039.248-00.064,K
1625,39.27135807,0.346478523,HIGALBM,39.2704+0.3468,                ,                 ,               ,0,                    ,G039.272+00.345,C
1626,39.27641349,-0.315809939,       ,              ,                ,                 ,               ,0,                    ,               , 
1627,39.27656219,0.036433663,HIGALBM,39.2765+0.0370,                ,                 ,               ,0,                    ,               , 
1628,39.29507004,-0.255700046,HIGALBM,39.2953-0.2551,                ,                 ,               ,0,                    ,               , 
1629,39.30754772,-0.350817158,       ,              ,                ,                 ,               ,0,                    ,               , 
1630,39.3091416,-0.308977764,HIGALBM,39.3095-0.3087,                ,                 ,               ,0,                    ,               , 
1631,39.33141819,0.336584186,HIGALBM,39.3316+0.3369,                ,                 ,               ,0,                    ,               , 
1632,39.33299806,-0.093367785,       ,              ,                ,                 ,               ,0,                    ,               , 
1633,39.36222669,-0.331652183,HIGALBM,39.3625-0.3308,                ,                 ,               ,0,                    ,G039.361-00.332,Q
1634,39.38835852,-0.143555314,HIGALBM,39.3877-0.1401,G039.3883-0.1404,                 ,               ,4924,HII region          ,G039.388-00.143,K
1635,39.39772718,0.105708866,HIGALBM,39.3980+0.1062,                ,                 ,               ,0,                    ,               , 
1636,39.43340023,-0.187659317,HIGALBM,39.4348-0.1865,G039.4340-0.1864,                 ,               ,0,                    ,G039.432-00.189,Q
1637,39.46651907,-0.13289691,HIGALBM,39.4667-0.1325,                ,                 ,               ,0,                    ,               , 
1638,39.49098868,0.673600897,HIGALBM,39.4916+0.6734,                ,                 ,               ,0,                    ,G039.491+00.676,Q
1639,39.50586508,-0.28082841,HIGALBM,39.5041-0.2824,                ,                 ,               ,0,                    ,G039.506-00.280,C
1640,39.51433453,0.632513612,HIGALBM,39.5156+0.6326,                ,                 ,               ,0,                    ,               , 
1641,39.52812638,-0.455503075,HIGALBM,39.5278-0.4577,                ,                 ,               ,0,                    ,G039.526-00.456,Q
1642,39.52814946,-0.185360155,       ,              ,                ,                 ,               ,0,                    ,               , 
1643,39.53641055,0.870516805,HIGALBM,39.5366+0.8703,                ,                 ,               ,0,                    ,G039.536+00.872,C
1644,39.5391947,0.877038702,       ,              ,                ,                 ,               ,0,                    ,               , 
1645,39.54517791,-0.366106708,HIGALBM,39.5415-0.3668,                ,                 ,               ,0,                    ,G039.544-00.366,K
1646,39.55078297,-0.156452367,       ,              ,                ,                 ,               ,0,                    ,G039.548-00.160,Q
1647,39.55264286,-0.428826728,HIGALBM,39.5529-0.4286,                ,                 ,               ,0,                    ,G039.549-00.428,Q
1648,39.55275557,-0.164263478,HIGALBM,39.5529-0.1639,                ,                 ,               ,0,                    ,G039.555-00.167,Q
1649,39.56181296,-0.429837141,       ,              ,                ,                 ,               ,0,                    ,               , 
1650,39.56298559,-0.424546353,HIGALBM,39.5631-0.4244,                ,                 ,               ,0,                    ,               , 
1651,39.56688602,0.413166239,HIGALBM,39.5675+0.4097,                ,                 ,               ,0,                    ,               , 
1652,39.56883802,0.012325233,       ,              ,                ,                 ,               ,0,                    ,G039.567+00.013,Q
1653,39.57531219,0.010631973,HIGALBM,39.5754+0.0115,G039.5727+0.0126,                 ,               ,0,                    ,               , 
1654,39.58273983,-0.185730862,HIGALBM,39.5831-0.1852,                ,                 ,               ,0,                    ,G039.583-00.186,Q
1655,39.58445505,0.005429817,       ,              ,                ,                 ,               ,0,                    ,G039.585+00.005,Q
1656,39.64882993,-0.293380891,HIGALBM,39.6488-0.2934,                ,                 ,               ,0,                    ,G039.648-00.294,Q
1657,39.66517475,-0.154580595,HIGALBM,39.6609-0.1553,                ,                 ,               ,0,                    ,G039.667-00.158,Q
1658,39.67214098,-0.457654307,HIGALBM,39.6726-0.4575,G039.6722-0.4577,                 ,               ,0,                    ,G039.672-00.459,K
1659,39.72829255,-0.397111269,HIGALBM,39.7278-0.3976,G039.7275-0.3987,G039.7277-00.3973,HII-Region     ,3369,Diffuse HII region  ,G039.728-00.396,K
1660,39.73223335,0.439770402,HIGALBM,39.7331+0.4402,                ,                 ,               ,0,                    ,               , 
1661,39.83497058,-0.233751251,HIGALBM,39.8353-0.2329,                ,                 ,               ,0,                    ,G039.834-00.235,Q
1662,39.84978538,-0.198472024,HIGALBM,39.8499-0.1977,                ,                 ,               ,0,                    ,               , 
1663,39.85351959,-0.209031765,HIGALBM,39.8538-0.2084,G039.8511-0.2043,                 ,               ,0,                    ,               , 
1664,39.85617101,-0.130968727,HIGALBM,39.8563-0.1305,                ,                 ,               ,0,                    ,               , 
1665,39.86604857,0.646773154,HIGALBM,39.8640+0.6476,                ,                 ,               ,3338,Diffuse HII region? ,G039.864+00.645,K
1666,39.88268732,-0.346120228,HIGALBM,39.8824-0.3456,G039.8837-0.3454,G039.8824-00.3460,UCHII          ,3370,HII region?         ,G039.883-00.346,K
1667,39.89873559,-0.075664935,HIGALBM,39.8984-0.0751,                ,                 ,               ,0,                    ,               , 
1668,39.92849999,-0.374572067,HIGALBM,39.9273-0.3745,G039.9252-0.3757,                 ,               ,3371,YSO                 ,G039.924-00.378,K
1669,39.93410259,0.132971301,HIGALBM,39.9345+0.1325,                ,                 ,               ,0,                    ,G039.934+00.132,Q
1670,39.97771478,-0.092047303,HIGALBM,39.9778-0.0917,                ,                 ,               ,0,                    ,               , 
