YB,l,b,Vel,Dist,e_Dist
1257,31.59679626,-0.340714146,99.6,5.95,1.07
1258,31.59805641,-0.679970419,0,0,0
1259,31.61109698,0.090249162,109.6,6.9,0.51
1260,31.642863,-0.267028444,44.3,2.11,0.14
1261,31.66121624,0.366998186,26,2.09,0.16
1262,31.6746624,0.239424471,98.3,6.32,0.82
1263,31.68212741,-0.151829645,103.4,6.65,0.74
1264,31.72940938,0.700476915,0,0,0
1265,31.73778142,-0.182379511,99.4,6.13,0.68
1266,31.75678162,-0.782314243,0,0,0
1267,31.79008806,-0.305959526,103.2,6.56,0.78
1268,31.82063592,-0.113153494,39.9,2.12,0.13
1269,31.82427522,-0.113379275,39.9,2.12,0.13
1270,31.8358804,-0.140841828,93.8,5.37,0.4
1271,31.83774072,-0.128719687,93.4,5.34,0.36
1272,31.8420179,-0.116447078,101.7,6.47,0.82
1273,31.91336826,0.195635525,107.9,6.68,0.58
1274,31.91596517,0.440003878,26.5,2.09,0.16
1275,31.94677428,0.065421096,95.1,5.47,0.47
1276,31.98534351,-0.557388898,71.5,4.33,0.31
1277,32.021994,0.066533466,97.9,6.45,0.84
1278,32.03020732,0.049879578,95.7,5.52,0.52
1279,32.06321702,0.80790111,0,0,0
1280,32.06817744,-0.089799599,49,11.1,0.26
1281,32.10483484,-0.372784276,71.9,4.4,0.32
1282,32.11265808,0.096554103,96.6,6.11,0.75
1283,32.11988437,0.090934665,96.6,6.12,0.75
1284,32.13136356,-0.091576667,15.4,2.1,0.17
1285,32.13397091,0.90223789,0,0,0
1286,32.1520191,0.131369542,95.5,5.48,0.47
1287,32.15373068,-0.278929738,73,4.44,0.32
1288,32.27117125,-0.226111453,23.7,2.11,0.16
1289,32.30573485,0.374077641,23.7,2.1,0.17
1290,32.31820651,-0.384156195,36,2.14,0.14
1291,32.32323692,0.780839606,24.1,2.09,0.17
1292,32.32746641,0.2558036,10.1,13.17,0.3
1293,32.40008716,-0.328267141,0,0,0
1294,32.40419271,0.162290035,44.1,11.17,0.28
1295,32.42236569,0.078306821,42.2,11.2,0.29
1296,32.4368631,0.416077649,49.4,11.03,0.3
1297,32.45818191,0.226066752,50.5,11,0.27
1298,32.45822771,0.385581835,49.4,11.03,0.29
1299,32.46353232,0.194109719,50.9,10.99,0.27
1300,32.46622382,0.200427319,50.3,11.01,0.27
1301,32.473514,0.205644478,49.2,11.03,0.27
1302,32.50756352,0.842581872,0,0,0
1303,32.57647732,-0.623062777,42.2,2.15,0.14
1304,32.57798664,0.41915333,9.7,13.18,0.31
1305,32.60104944,-0.251384074,90.2,5.24,0.25
1306,32.61053412,-0.240903175,90,5.23,0.25
1307,32.62680708,-0.101973384,33,2.15,0.14
1308,32.63243029,-0.130948811,101.5,6.5,0.61
1309,32.632485,-0.66207049,0.5,0.24,0.02
1310,32.64853003,-0.648559669,0.5,0.24,0.02
1311,32.69297207,0.046956598,96.2,6.24,0.72
1312,32.70323151,-0.056339293,100.8,6.49,0.6
1313,32.70956274,-0.062482775,100.8,6.49,0.6
1314,32.72309561,-0.295612198,90,5.23,0.25
1315,32.73955676,0.194441084,18.8,12.92,0.3
1316,32.74573559,-0.073397213,36.7,2.15,0.14
1317,32.74835255,-0.063748921,36.4,2.15,0.14
1318,32.76926217,-0.182820422,80.9,5.14,0.27
1319,32.772946,-0.05924745,37.9,2.15,0.14
1320,32.77479152,0.184199381,19.4,12.9,0.3
1321,32.79228785,0.193346309,13.7,13.03,0.3
1322,32.79413543,0.206211173,13.9,13.03,0.3
1323,32.79643753,0.188904707,14.3,13.02,0.3
1324,32.79714584,0.183967142,16.9,12.95,0.3
1325,32.83251944,-0.215919103,82.1,5.17,0.26
1326,32.85985257,-0.410472741,47.9,2.18,0.2
1327,32.87155415,0.696856403,0,0,0
1328,32.88770103,-0.278227092,57.1,10.73,0.27
1329,32.92758727,0.605645977,91.5,5.26,0.25
1330,32.94489455,-0.376904022,0,0,0
1331,32.95934962,0.126671011,76.2,5.12,0.4
1332,32.96237049,-0.33954263,90.2,5.27,0.28
1333,32.99047789,0.039122175,82.6,5.19,0.26
1334,33.01988241,-0.358036796,49.4,2.23,0.25
1335,33.02330848,-0.365203278,49.4,2.23,0.25
1336,33.04832427,0.076767789,82.6,5.19,0.26
1337,33.06876725,-0.197558968,83.4,5.21,0.27
1338,33.1103629,-0.094027653,76.4,5.13,0.46
1339,33.13301905,-0.09274251,77,5.16,0.42
1340,33.14259378,-0.086817251,76.6,5.13,0.46
1341,33.20258294,-0.009753983,98.7,6.44,0.55
1342,33.20780924,-0.013422492,98.9,6.45,0.55
1343,33.26324457,0.065896239,99.4,6.45,0.53
1344,33.28946204,-0.01904508,99.6,6.46,0.53
1345,33.29842175,-0.338348731,36.4,2.17,0.14
1346,33.30247493,0.094272322,9.9,13.05,0.42
1347,33.31360806,-0.271657146,37.5,2.17,0.14
1348,33.3305919,0.163672044,84.9,5.24,0.26
1349,33.33686398,0.165470433,84.7,5.24,0.27
1350,33.39185279,-0.012650425,10.5,2.13,0.18
1351,33.40433828,0.373447629,35.2,2.16,0.15
1352,33.417426,0.036831807,103.4,6.51,0.49
1353,33.41770227,-0.003988034,74.5,5.39,0.31
1354,33.42551162,-0.012803771,74.7,5.4,0.31
1355,33.47019198,-0.086558903,10.9,2.13,0.18
1356,33.47897659,-0.116917155,86.2,5.31,0.28
1357,33.48254203,-0.209991282,54.1,10.71,0.25
1358,33.48872632,0.152181224,67.9,10.29,0.57
1359,33.49185752,0.158740845,67.9,10.28,0.58
1360,33.49647418,-0.013199475,101.3,6.48,0.5
1361,33.51814962,-0.056726208,104.9,6.52,0.48
1362,33.51890443,0.149935141,68.1,10.25,0.59
1363,33.53008704,-0.118568978,11.6,2.13,0.18
1364,33.53422353,-0.109334218,11.6,2.13,0.18
1365,33.55462905,-0.162906918,85.3,5.31,0.29
1366,33.5900361,0.22577603,91.9,6.18,0.59
1367,33.61149477,0.083306432,104,6.5,0.48
1368,33.62918117,-0.017654574,105.1,6.51,0.48
1369,33.6336327,-0.020999843,105.7,6.52,0.48
1370,33.63799244,-0.035673578,103.6,6.5,0.48
1371,33.64260408,-0.227646176,61.1,10.52,0.3
1372,33.64570723,-0.312531889,52.4,10.69,0.25
1373,33.64983037,-0.025827063,104.2,6.5,0.48
1374,33.65373451,-0.017637616,104.9,6.51,0.48
1375,33.6537698,-0.165333183,53.9,10.69,0.25
1376,33.65397537,0.157118465,40.3,2.18,0.15
1377,33.68048522,-0.01734179,105.9,6.51,0.47
1378,33.70563431,0.283593982,37.5,2.17,0.15
1379,33.71124683,0.134007651,40.7,2.18,0.16
1380,33.72593862,-0.425135407,49.4,2.27,0.28
1381,33.72662625,-0.118624428,51.1,10.74,0.26
1382,33.739533,0.347657551,0,0,0
1383,33.74563374,0.610719361,0,0,0
1384,33.75216482,-0.064110407,105.5,6.5,0.47
1385,33.75531386,0.296896664,40.3,2.18,0.16
1386,33.76501356,0.036009606,89.2,6.03,0.68
1387,33.76747254,0.030909251,89.4,6,0.7
1388,33.77119126,-0.404690315,12.2,2.13,0.18
1389,33.80850508,-0.153119763,52.4,10.7,0.26
1390,33.81036074,-0.186687846,46.4,10.81,0.26
1391,33.83285959,-0.122724075,52,10.71,0.26
1392,33.87091963,0.057461901,106.8,6.49,0.46
1393,33.88347451,0.058296916,106.8,6.49,0.46
1394,33.9149335,0.107618537,107.4,6.48,0.46
1395,33.97843389,-0.203140766,38.8,2.18,0.14
1396,33.98954445,-0.009981457,60.5,10.51,0.29
1397,33.99078653,-0.004199974,60.5,10.51,0.29
1398,34.02159512,0.233899188,34.5,2.15,0.16
1399,34.03516682,0.164174439,57.5,10.6,0.29
1400,34.04346843,0.053551092,57.7,10.57,0.28
1401,34.04990531,-0.297963765,11.2,2.13,0.18
1402,34.0515109,-0.145422177,53,10.63,0.26
1403,34.06687895,-0.596959255,58.8,5.76,2.18
1404,34.08882773,0.435794018,34.4,2.13,0.17
1405,34.09646691,0.01806835,53.7,10.64,0.27
1406,34.10269143,-0.026985486,55.4,10.59,0.27
1407,34.13245295,0.471285267,35.2,2.14,0.17
1408,34.15418534,0.031774536,56.4,10.57,0.28
1409,34.19665233,-0.591653252,59,3.64,0.56
1410,34.20252241,0.105132813,57.5,10.55,0.28
1411,34.26863896,-0.207595506,52,10.6,0.26
1412,34.29854657,0.18185125,56.2,10.57,0.29
1413,34.31089058,-0.094628279,76,4.84,0.52
1414,34.3160817,0.009908025,62.2,10.42,0.31
1415,34.40295853,0.228011575,56.6,10.55,0.29
1416,34.41362099,-0.21545825,53.5,10.54,0.27
1417,34.4380631,0.060828055,89.4,5.23,0.43
1418,34.44341307,0.047270359,47.7,10.73,0.28
1419,34.45718667,0.008990535,89.8,5.26,0.44
1420,34.48817449,-0.177558836,53.7,10.53,0.27
1421,34.52508849,0.307439529,59,10.48,0.3
1422,34.56185338,-0.450263672,56,10.34,0.31
1423,34.59172723,0.243326725,53.7,10.57,0.29
1424,34.60177292,-0.412436185,55.4,10.44,0.27
1425,34.62402233,-0.130272339,22.2,2.11,0.18
1426,34.6278837,-0.025555191,44.1,10.76,0.29
1427,34.63278158,-0.023918423,43.9,10.77,0.29
1428,34.67758798,-0.109720809,85.3,5.07,0.39
1429,34.68082932,-0.501849613,82.1,4.83,0.4
1430,34.68497981,0.067445904,96.8,6.19,0.49
1431,34.69607929,-0.652951909,46.4,2.22,0.18
1432,34.69760777,-0.658028916,46.4,2.22,0.18
1433,34.75680025,0.024876815,76,4.73,0.41
1434,34.80175322,-0.255915937,52.2,10.52,0.26
1435,34.80512896,-0.921506252,46,2.2,0.16
1436,34.82255337,0.325879652,58.1,10.4,0.3
1437,34.86434777,0.034791998,80,4.88,0.4
1438,34.86542782,0.251668082,57.9,10.41,0.29
1439,34.90224458,0.068298541,80.7,4.9,0.39
1440,34.91038505,0.235092105,104.9,6.24,0.47
1441,34.93144784,0.014522385,27.9,2.12,0.17
1442,35.02044901,0.345020997,53,10.51,0.3
1443,35.03929637,-0.547664585,49.6,2.34,0.33
1444,35.04411623,0.327188321,51.3,10.55,0.3
1445,35.04558723,-0.448991138,50.9,2.43,0.44
1446,35.05282279,-0.517938923,50.5,2.4,0.4
1447,35.09950087,-0.243245131,42,2.21,0.16
1448,35.1095569,0.075319495,74.3,4.65,0.4
1449,35.11154238,0.071544613,13.9,12.62,0.3
1450,35.13826818,-0.76155382,35.4,2.2,0.12
1451,35.13842743,0.802060196,74.1,4.73,0.38
1452,35.15099463,0.822993155,74.1,4.72,0.38
1453,35.17280414,-0.949074192,13.9,2.15,0.18
1454,35.24207193,-0.171626744,53,10.42,0.27
1455,35.26135916,-0.052346802,28.6,2.14,0.17
1456,35.26640684,0.117866074,13.7,12.63,0.3
1457,35.34770171,0.347122829,94.5,5.91,0.47
1458,35.3579868,-0.75056896,38.6,2.21,0.12
1459,35.38672955,0.134357411,74.7,4.67,0.4
1460,35.39852451,0.024834015,94.2,5.6,0.69
1461,35.41153661,-0.843194604,36.7,2.2,0.12
1462,35.45185565,-0.294487464,45,2.23,0.19
1463,35.45631062,0.243386894,49.2,10.53,0.28
1464,35.46665725,0.137781246,77.5,4.77,0.39
1465,35.46989062,0.361566316,49.6,10.53,0.3
1466,35.4716443,-0.43632581,0,0,0
1467,35.48227304,-0.043198022,96.2,5.94,0.5
1468,35.48908394,-0.011039226,57.5,10.3,0.28
1469,35.49489582,-0.077074989,53.7,10.37,0.27
1470,35.51392671,-0.389364143,28.2,2.15,0.16
1471,35.51677631,-0.031022798,54.5,10.36,0.28
1472,35.52663208,-0.145399357,45.8,10.53,0.29
1473,35.54945546,-0.358344939,27.7,2.14,0.17
1474,35.554836,0.014510223,57.9,10.28,0.29
1475,35.56260359,0.078355075,50.9,10.46,0.28
1476,35.57326042,0.069627955,49.4,10.49,0.28
1477,35.57762786,-0.585209485,53.2,3.07,0.6
1478,35.57796727,-0.029885579,52.8,10.39,0.28
1479,35.57797752,0.048704242,49,10.49,0.28
1480,35.59756163,-0.114823721,53.5,10.35,0.27
1481,35.60148757,-0.203350331,49.6,10.42,0.28
1482,35.63971046,0.294687516,55.4,10.36,0.28
1483,35.67340703,-0.245525116,27.3,2.14,0.17
1484,35.67899916,0.301923425,58.1,10.29,0.29
1485,35.72105125,-0.929696314,57.7,3.38,0.38
1486,35.7459999,0.157549607,83.2,4.94,0.4
1487,35.82308667,-0.869061956,60.2,3.55,0.37
1488,35.83050963,-0.193046943,28.6,2.14,0.17
1489,35.84026105,-0.147084893,44.1,2.23,0.19
1490,35.94843722,-0.14748945,53.5,10.28,0.27
1491,36.03871208,0.264916216,73.4,4.61,0.39
1492,36.17462896,-0.305692429,0,0,0
1493,36.22184678,0.072993682,40.3,2.21,0.17
1494,36.33659543,-0.213205052,54.7,10.17,0.28
1495,36.35661686,-0.700599831,57.3,3.56,0.45
1496,36.37207953,0.642316304,72.8,4.51,0.37
1497,36.37995026,0.797446513,70.9,4.41,0.38
1498,36.38311086,0.793029739,70.7,4.4,0.38
1499,36.38923861,0.385458073,21.4,12.42,0.31
1500,36.40597411,0.023951573,58.8,10.11,0.33
1501,36.40767677,0.130764663,55.8,10.22,0.34
1502,36.47968916,0.086642406,56.2,10.18,0.34
1503,36.47999364,-0.271865125,74.5,4.59,0.38
1504,36.49806426,0.732175496,73,4.46,0.38
1505,36.51376806,0.98642074,8.8,2.14,0.2
1506,36.55360562,-0.543719584,50.7,10.15,0.25
1507,36.57730175,-0.502565609,51.3,10.15,0.25
1508,36.63520984,-0.230714905,81.7,4.84,0.41
1509,36.64506994,-0.61037183,56.9,10.01,0.27
1510,36.65342253,0.318728192,0,0,0
1511,36.70014972,0.086583981,60,10.01,0.36
1512,36.72299132,-0.160416816,54.7,10.12,0.29
1513,36.77043296,-0.29661981,72.8,4.51,0.38
1514,36.78257623,0.082567191,87.2,4.99,0.43
1515,36.78875407,-0.203604318,76.8,4.67,0.39
1516,36.82203356,0.010322255,88.1,5.01,0.45
1517,36.84066859,0.117703889,59.2,9.99,0.37
1518,36.8480035,-0.136382115,78.7,4.74,0.4
1519,36.85301025,-0.130511934,79.6,4.77,0.4
1520,36.86807699,0.461240283,13.5,12.55,0.28
1521,36.87702941,0.500837208,13.7,12.56,0.28
1522,36.89443285,-0.133885525,79.6,4.77,0.4
1523,36.90574674,0.131707743,57.5,10.03,0.37
1524,36.90884007,-0.30916816,80,4.76,0.41
1525,36.91976767,0.482589824,13.3,12.56,0.28
1526,36.99485189,-0.231176936,53.2,10.1,0.29
1527,37.04137008,-0.03238199,80.7,4.8,0.4
1528,37.14904388,0.305475281,32,2.2,0.15
1529,37.16481429,-0.355996037,43.2,2.22,0.2
1530,37.25815507,-0.376377849,60.2,9.85,0.3
1531,37.27807024,0.099218962,91.1,4.99,0.49
1532,37.28307774,-0.451621597,78.3,4.66,0.38
1533,37.31816661,0.16251234,92.3,4.98,0.51
1534,37.32004663,0.168765761,92.3,4.98,0.51
1535,37.33581252,-0.059673922,55.4,9.99,0.31
1536,37.34038488,-0.060698839,55.6,9.99,0.31
1537,37.34188133,0.685679352,5,0.54,0.19
1538,37.35445429,-0.232044444,39.2,2.23,0.12
1539,37.36410176,-0.23594345,39.6,2.23,0.12
1540,37.38100263,-0.08180732,84.5,4.89,0.44
1541,37.45398034,-0.005791537,18.8,12.13,0.32
1542,37.45856113,-0.0607744,56.9,9.93,0.31
1543,37.46835675,-0.104126803,57.1,9.92,0.31
1544,37.48618144,0.522849329,9.7,12.56,0.32
1545,37.49132611,0.786703872,0,0,0
1546,37.49740505,0.530403459,9.7,12.57,0.32
1547,37.52249156,0.777069291,14.4,2.17,0.2
1548,37.54431227,-0.111353873,52.4,10.03,0.3
1549,37.54609208,-0.118471432,84.9,4.88,0.45
1550,37.58047311,0.283139142,83.2,4.81,0.41
1551,37.61495936,-0.311105841,18.6,2.16,0.19
1552,37.63915414,-0.105510927,19,2.16,0.18
1553,37.66460036,-0.332268161,18.2,2.16,0.19
1554,37.66546522,-0.322816823,18.2,2.16,0.19
1555,37.68969545,0.069968609,86,4.88,0.45
1556,37.6975655,0.038977651,86,4.89,0.45
1557,37.70377996,0.031287448,86.2,4.89,0.46
1558,37.70613715,-0.427604047,12.8,0.64,0.22
1559,37.75647328,0.560249458,38.4,2.23,0.24
1560,37.76404015,-0.21249708,62.2,9.71,0.33
1561,37.77417811,0.351089973,14.6,12.35,0.29
1562,37.77987857,0.107322813,92.3,5.06,0.71
1563,37.8000159,-0.371952127,66.8,4.19,0.45
1564,37.81466988,-0.379028059,67.3,4.21,0.44
1565,37.81959582,0.413304121,18.2,12.29,0.3
1566,37.82239878,-0.299957997,13.3,2.17,0.2
1567,37.82543348,0.405362636,18.2,12.28,0.3
1568,37.8606775,0.145303573,19.4,12.16,0.31
1569,37.8657905,-0.602697605,51.1,9.88,0.28
1570,37.87427929,-0.399754263,60.9,9.69,0.31
1571,37.90103272,0.318774681,28.2,2.16,0.19
1572,37.94966598,-0.489120745,51.8,9.87,0.28
1573,37.97197638,-0.096195425,82.6,4.87,0.51
1574,38.07177694,0.312416843,43.5,2.36,0.32
1575,38.09172014,0.277635635,43,2.35,0.32
1576,38.09806088,0.355061318,18.2,12.22,0.28
1577,38.09942169,0.675023026,37.1,2.26,0.26
1578,38.12182116,-0.225387886,83.4,4.88,0.53
1579,38.19083806,-0.16067924,62.4,9.61,0.35
1580,38.22140415,0.24816073,17.3,12.19,0.3
1581,38.26379772,0.620479389,6.7,0.56,0.2
1582,38.29718191,-0.209762244,52.2,9.87,0.31
1583,38.30376716,0.110923968,38.4,2.24,0.26
1584,38.30961577,0.907170767,43.9,2.49,0.31
1585,38.32969029,-0.223402469,66.6,4.14,0.46
1586,38.3460766,-0.055771442,85.3,4.9,0.56
1587,38.35882667,0.001989662,17.1,12.08,0.33
1588,38.37724309,0.170241264,17.1,12.15,0.31
1589,38.46480941,-0.06412856,82.8,4.83,0.53
1590,38.53007013,0.230263757,83,4.81,0.55
1591,38.53959886,-0.30300386,9.7,0.6,0.21
1592,38.54985364,0.162819438,29.6,1.9,0.07
1593,38.62138666,-0.188057193,67.5,4.17,0.46
1594,38.64639689,-0.226082376,69.6,4.28,0.46
1595,38.6932993,-0.452228101,50,9.79,0.29
1596,38.72273446,-0.13077799,64.9,3.41,0.11
1597,38.75230598,0.176083739,16.7,12.12,0.3
1598,38.75456969,-0.526601227,66.2,3.41,0.11
1599,38.77822012,0.10091226,19.4,12.01,0.32
1600,38.80441134,0.099529676,20.3,11.99,0.32
1601,38.85738222,-0.524048973,43,9.91,0.37
1602,38.87480545,0.056095959,40.1,1.91,0.07
1603,38.87529545,0.309002422,18.8,12.1,0.3
1604,38.87880202,-0.147363297,64.7,3.42,0.11
1605,38.90522878,-0.461908043,41.5,1.91,0.07
1606,38.91456114,-0.148241447,58.1,9.57,0.34
1607,38.91465789,-0.194108258,39.6,1.91,0.07
1608,38.92630429,-0.35209623,39.4,1.91,0.07
1610,38.93252408,0.399493802,25.8,1.9,0.08
1611,38.95445004,0.27091145,12.2,12.22,0.29
1612,38.98018077,-0.272612515,47.7,9.85,0.33
1613,39.05374516,0.217852691,6.7,12.32,0.3
1614,39.11260438,0.504226171,22,1.91,0.09
1615,39.15068143,-0.286562689,69,4.22,0.46
1616,39.16055776,0.736032284,34.1,1.92,0.07
1617,39.16115004,-0.165936479,27.1,1.91,0.07
1618,39.17054553,0.578869675,20.9,1.9,0.07
1619,39.1888564,-0.564630864,68.3,4.16,0.45
1620,39.19554624,0.224348845,35.2,1.92,0.07
1621,39.21443576,0.2023756,36,1.92,0.07
1622,39.23843762,-0.555813842,65.1,3.43,0.11
1623,39.2451128,-0.062390677,22.2,11.76,0.36
1624,39.24919117,-0.063942319,22.8,11.73,0.37
1625,39.27135807,0.346478523,0,0,0
1626,39.27641349,-0.315809939,61.3,9.38,0.33
1627,39.27656219,0.036433663,13.6,12.06,0.31
1628,39.29507004,-0.255700046,69.2,3.42,0.11
1629,39.30754772,-0.350817158,63.2,3.41,0.11
1630,39.3091416,-0.308977764,65.6,3.41,0.11
1631,39.33141819,0.336584186,20.1,12.01,0.32
1632,39.33299806,-0.093367785,54.1,9.61,0.33
1633,39.36222669,-0.331652183,63.4,3.41,0.11
1634,39.38835852,-0.143555314,66.6,3.41,0.11
1635,39.39772718,0.105708866,62,3.39,0.11
1636,39.43340023,-0.187659317,51.3,9.65,0.32
1637,39.46651907,-0.13289691,58.5,9.44,0.33
1638,39.49098868,0.673600897,27.8,1.91,0.07
1639,39.50586508,-0.28082841,57.9,9.43,0.32
1640,39.51433453,0.632513612,22.6,1.9,0.07
1641,39.52812638,-0.455503075,17.9,0.69,0.23
1642,39.52814946,-0.185360155,53.7,9.56,0.32
1643,39.53641055,0.870516805,30.5,1.91,0.07
1644,39.5391947,0.877038702,30.7,1.91,0.07
1645,39.54517791,-0.366106708,60.9,9.32,0.33
1646,39.55078297,-0.156452367,3.7,12.25,0.48
1647,39.55264286,-0.428826728,58.3,9.38,0.32
1648,39.55275557,-0.164263478,53.9,9.56,0.32
1649,39.56181296,-0.429837141,57.9,9.38,0.32
1650,39.56298559,-0.424546353,57.9,9.39,0.32
1651,39.56688602,0.413166239,34.5,1.92,0.07
1652,39.56883802,0.012325233,22.6,11.77,0.35
1653,39.57531219,0.010631973,22.6,11.77,0.35
1654,39.58273983,-0.185730862,54.3,9.53,0.32
1655,39.58445505,0.005429817,23.9,11.73,0.38
1656,39.64882993,-0.293380891,70.8,3.41,0.11
1657,39.66517475,-0.154580595,59.2,9.38,0.34
1658,39.67214098,-0.457654307,15.4,0.66,0.22
1659,39.72829255,-0.397111269,60.7,9.28,0.33
1660,39.73223335,0.439770402,32,1.91,0.07
1661,39.83497058,-0.233751251,57.7,9.37,0.33
1662,39.84978538,-0.198472024,57.1,9.39,0.33
1663,39.85351959,-0.209031765,56.6,9.4,0.33
1664,39.85617101,-0.130968727,57.5,9.39,0.34
1665,39.86604857,0.646773154,0,0,0
1666,39.88268732,-0.346120228,58.1,9.32,0.32
1667,39.89873559,-0.075664935,73.2,3.39,0.11
1668,39.92849999,-0.374572067,60,9.25,0.33
1669,39.93410259,0.132971301,14.1,11.97,0.3
