YB,l,b,F8,stdF8,F12,stdF12,F24,stdF24,F70,e_F70,Fit
1491,36.03871208,0.264916216,0.3,0.34,0.14,0.34,0.13,0.43,2.05,0.12,1
1492,36.17462896,-0.305692429,0.02,0.39,0.01,0.49,0,0.41,0,0,0
1493,36.22184678,0.072993682,0.41,0.32,0.07,0.48,0.07,0.31,5.63,0.35,0
1494,36.33659543,-0.213205052,0.15,0.13,0.07,0.22,0.12,0.21,0,0,0
1495,36.35661686,-0.700599831,0.13,0.11,0.03,0.46,0.03,0.92,2.81,0.16,0
1496,36.37207953,0.642316304,0.19,0.18,0.11,0.32,0.15,0.22,4.34,0.47,0
1497,36.37995026,0.797446513,0.17,0.44,0.06,0.14,0.04,0.57,0,0,1
1498,36.38311086,0.793029739,0.07,0.23,0,0.67,0.04,0.89,0,0,1
1499,36.38923861,0.385458073,0.06,0.31,0.03,0.15,0.08,0.07,0,0,0
1500,36.40597411,0.023951573,1,0.41,0.83,0.44,0,0,382.4,14.51,0
1501,36.40767677,0.130764663,0.08,0.05,0.02,0.2,0.02,0.22,4.08,0.21,1
1502,36.47968916,0.086642406,0.17,0.5,0.11,0.33,0.1,0.47,0,0,0
1503,36.47999364,-0.271865125,0.05,0.27,0.02,0.35,0.02,0.63,0,0,0
1504,36.49806426,0.732175496,0.16,0.06,0.03,0.24,0.09,0.34,6.11,0.22,0
1505,36.51376806,0.98642074,0,0,0,0,0,0,19.89,0.47,0
1506,36.55360562,-0.543719584,0.07,0.45,0.05,0.63,0.04,0.62,4.66,0.22,1
1507,36.57730175,-0.502565609,0.25,0.39,0.11,0.64,0.11,0.99,13.49,0.6,0
1508,36.63520984,-0.230714905,0.21,0.03,0.06,0.44,0.11,0.28,8.77,0.35,0
1509,36.64506994,-0.61037183,0.83,0.1,0.21,0.43,1.03,0.25,36.27,1.34,0
1510,36.65342253,0.318728192,0.1,0.1,0.04,0.46,0.07,0.33,4.3,0.2,0
1511,36.70014972,0.086583981,0.2,0.33,0.09,0.51,0.1,0.63,7.42,0.51,0
1512,36.72299132,-0.160416816,0.38,0.53,0.16,0.83,0.16,0.59,0,0,0
1513,36.77043296,-0.29661981,0.29,0.12,0.08,0.27,0.29,0.29,13.99,0.97,0
1514,36.78257623,0.082567191,0.06,0.07,0.02,0.7,0.02,0.25,0,0,1
1515,36.78875407,-0.203604318,0.32,0.31,0.09,0.19,0.3,0.25,8.46,0.44,0
1516,36.82203356,0.010322255,0.21,0.38,0.11,0.34,0.08,0.52,0,0,0
1517,36.84066859,0.117703889,0.93,0.19,0.42,0.16,0.65,0.06,20.41,0.6,0
1518,36.8480035,-0.136382115,1.15,0.16,0.73,0.18,1.3,0.27,0,0,0
1519,36.85301025,-0.130511934,0.12,0.25,0.02,0.75,0.13,0.54,0,0,1
1520,36.86807699,0.461240283,0.15,0.26,0.13,0.27,0.36,0.28,12.25,0.45,1
1521,36.87702941,0.500837208,0.06,0.07,0.03,0.11,0.08,0.07,3.64,0.6,0
1522,36.89443285,-0.133885525,0.77,0.19,0.21,0.32,0.41,0.31,44.26,1.01,1
1523,36.90574674,0.131707743,0.17,0.36,0.06,0.59,0.05,0.77,0,0,0
1524,36.90884007,-0.30916816,0.82,0.59,0.44,0.19,0.17,1.07,0,0,1
1525,36.91976767,0.482589824,0.97,0.05,0.55,0.38,5.4,0.12,0,0,1
1526,36.99485189,-0.231176936,3.58,0.09,1.61,0.13,3.28,0.19,84.32,2.8,1
1527,37.04137008,-0.03238199,0.12,0.08,0.02,0.48,0.32,0.08,102.36,3.96,0
1528,37.14904388,0.305475281,0.14,0.2,0.05,0.35,0.04,0.34,6.51,0.17,1
1529,37.16481429,-0.355996037,0.12,0.27,0.02,0.82,0.03,0.59,6.69,0.32,1
1530,37.25815507,-0.376377849,0.08,0.52,0.02,0.61,0.07,0.36,4.79,0.2,0
1531,37.27807024,0.099218962,0.35,0.22,0.07,0.27,0.28,0.26,0,0,0
1532,37.28307774,-0.451621597,0.12,0.2,0.06,0.35,0.06,0.53,4.23,0.18,0
1533,37.31816661,0.16251234,1.37,0.18,0.33,0.28,2.16,0.17,0,0,0
1534,37.32004663,0.168765761,0.72,0.23,0.19,0.4,0.9,0.34,0,0,0
1535,37.33581252,-0.059673922,0.45,0.39,0.09,0.43,1.11,0.22,101.81,8.42,1
1536,37.34038488,-0.060698839,1.15,0.1,0.75,0.16,1.48,0.12,101.81,8.42,0
1537,37.34188133,0.685679352,0.62,0.96,0.34,1.35,1.93,1.17,58.79,5.09,0
1538,37.35445429,-0.232044444,0.35,0.82,0.13,1.14,0.36,0.91,68.46,3.74,0
1539,37.36410176,-0.23594345,0.22,1.19,0.05,1.49,0.26,1.04,56.98,7.15,0
1540,37.38100263,-0.08180732,0.43,0.34,0.21,0.54,1.06,0.42,0,0,0
1541,37.45398034,-0.005791537,0.26,0.72,0.14,0.67,0.17,1.19,18.41,1.16,1
1542,37.45856113,-0.0607744,0.34,0.29,0.07,1.42,0.49,0.54,29.99,1.39,0
1543,37.46835675,-0.104126803,1.22,0.33,0.39,0.61,2.03,0.42,93.15,5.44,0
1544,37.48618144,0.522849329,0.13,0.69,0.08,0.87,0,0,0,0,0
1545,37.49132611,0.786703872,0.15,0.11,0.07,0.44,0.12,0.39,2.85,0.11,0
1546,37.49740505,0.530403459,3.37,0.12,2.27,0.17,0,0,254.28,3.33,0
1547,37.52249156,0.777069291,0.26,0.19,0.12,0.33,0.26,0.39,12.26,0.31,0
1548,37.54431227,-0.111353873,4.15,0.14,2.27,0.3,0,0,511.25,19.06,0
1549,37.54609208,-0.118471432,0.79,0.38,0.05,1.21,0,0,511.25,19.06,0
1550,37.58047311,0.283139142,0.05,0.33,0.02,0.66,0.03,0.58,0,0,0
1551,37.61495936,-0.311105841,0.06,0.98,0.05,0.42,0.19,0.83,0,0,0
1552,37.63915414,-0.105510927,1.02,0.42,0.56,0.17,3.54,0.22,0,0,0
1553,37.66460036,-0.332268161,0.07,0.32,0.05,0.43,0.56,0.32,0,0,0
1554,37.66546522,-0.322816823,0.03,0.38,0.03,0.39,0.31,0.53,0,0,0
1555,37.68969545,0.069968609,0.24,0.2,0.05,0.39,0.08,0.77,0,0,0
1556,37.6975655,0.038977651,0.07,0.14,0.01,0.81,0.02,0.25,0,0,0
1557,37.70377996,0.031287448,0.81,0.14,0.26,0.34,0.39,0.35,0,0,0
1558,37.70613715,-0.427604047,0.19,0.09,0.07,0.25,0.09,0.4,6.57,0.23,0
1559,37.75647328,0.560249458,1.4,0.11,0.62,0.25,3.19,0.17,128.98,4.27,0
1560,37.76404015,-0.21249708,0.02,68.74,1.87,0.51,13.06,0.73,111.23,3.72,0
1561,37.77417811,0.351089973,0.17,0.3,0.11,0.28,0.22,0.34,12.61,0.32,0
1562,37.77987857,0.107322813,0.37,0.31,0.18,0.47,0.43,0.44,0,0,0
1563,37.8000159,-0.371952127,0.13,0.11,0.03,0.21,0.3,0.3,18.64,0.82,0
1564,37.81466988,-0.379028059,0.4,0.61,0.52,0.18,3.74,0.11,52.17,2.81,0
1565,37.81959582,0.413304121,0.72,0.21,0.37,0.36,6.15,0.07,304.2,13.39,0
1566,37.82239878,-0.299957997,0.3,0.13,0.09,0.47,0.31,0.3,23.3,0.88,0
1567,37.82543348,0.405362636,0.15,0.14,0.04,0.54,0.05,0.33,0,0,0
1568,37.8606775,0.145303573,0.13,0.57,0.12,0.52,0.25,1.54,0,0,0
1569,37.8657905,-0.602697605,3.32,0.28,2.28,0.44,0,0,264.22,11.3,0
1570,37.87427929,-0.399754263,11.98,0.12,0,0,0,0,2358.12,61.29,0
1571,37.90103272,0.318774681,0.41,0.19,0.13,0.3,0.96,0.23,22.03,0.88,0
1572,37.94966598,-0.489120745,0.25,0.05,0.07,0.71,0.14,0.31,9.3,0.39,0
1573,37.97197638,-0.096195425,0.33,0.06,0.12,0.36,0.84,0.33,0,0,0
1574,38.07177694,0.312416843,0.06,0.23,0.02,0.48,0.02,0.59,2.15,0.09,0
1575,38.09172014,0.277635635,0.45,0.14,0.12,0.54,0.74,0.25,19.02,0.75,0
1576,38.09806088,0.355061318,0.16,0.26,0.06,0.44,0.11,0.4,12.07,0.39,1
1577,38.09942169,0.675023026,0.12,0.12,0.06,0.19,0.06,0.11,0,0,0
1578,38.12182116,-0.225387886,1.79,0.66,1.19,0.57,4.71,0.6,142.92,14.17,0
1579,38.19083806,-0.16067924,0.61,0.09,0.12,0.25,0.92,0.3,49.2,1.88,0
1580,38.22140415,0.24816073,1.05,0.84,0.66,0.83,0.69,2.46,0,0,0
1581,38.26379772,0.620479389,0.25,0.17,0.14,0.4,0.11,0.42,3.75,0.29,1
1582,38.29718191,-0.209762244,0.1,0.08,0.03,0.45,0.29,0.33,5.4,0.3,0
1583,38.30376716,0.110923968,0.11,1.01,0.05,1.14,0.05,1.22,0,0,0
1584,38.30961577,0.907170767,0.03,0.24,0.01,0.51,0.01,0.57,0,0,1
1585,38.32969029,-0.223402469,0.13,0.23,0.04,0.28,0.12,0.32,0,0,0
1586,38.3460766,-0.055771442,0.03,0.16,0.01,0.6,0.02,0.2,0,0,0
1587,38.35882667,0.001989662,0.17,0.16,0.04,0.48,0.18,0.34,8.94,0.24,0
1588,38.37724309,0.170241264,0.2,1.12,0.14,0.4,0.17,0.65,5.09,0.36,0
1589,38.46480941,-0.06412856,0.26,0.05,0.08,0.11,0.77,0.08,0,0,0
1590,38.53007013,0.230263757,0.22,0.17,0.08,0.43,0.12,0.24,0,0,0
1591,38.53959886,-0.30300386,0.12,0.09,0.03,0.33,0.03,0.37,5.32,0.21,0
1592,38.54985364,0.162819438,2.12,0.2,1.53,0.32,8.52,0.18,70.27,3.56,0
1593,38.62138666,-0.188057193,0.26,0.5,0.1,0.48,0.09,0.81,16.31,0.21,1
1594,38.64639689,-0.226082376,0.92,0,0.3,0.21,3.74,0.19,109.54,3.71,0
1595,38.6932993,-0.452228101,0.62,0.07,0.26,0.34,4.55,0.23,196.23,6.11,0
1596,38.72273446,-0.13077799,0.33,0.98,0.1,1.01,0.29,0.38,16.72,1.1,0
1597,38.75230598,0.176083739,0.26,1.23,0.24,0.85,0.49,1.41,30.85,0.77,0
1598,38.75456969,-0.526601227,1.22,0.28,0.41,0.58,0.49,0.7,21.45,1.48,0
1599,38.77822012,0.10091226,0.2,0.65,0.13,0.64,0.11,0.54,18.49,0.84,1
1600,38.80441134,0.099529676,0.23,1.02,0.18,0.5,0.3,0.46,12.89,0.53,0
1601,38.85738222,-0.524048973,0.39,0.09,0.16,0.38,0.19,0.19,9.41,0.53,1
1602,38.87480545,0.056095959,0.08,1,0.04,1.34,0.04,1.45,1.9,0.1,0
1603,38.87529545,0.309002422,0.99,0.12,0.74,0.35,0,0,334.26,9.78,0
1604,38.87880202,-0.147363297,0.08,0.22,0.03,0.46,0.12,0.37,9.13,0.42,0
1605,38.90522878,-0.461908043,0.44,0.35,0.2,0.27,0.38,0.33,16.46,0.81,0
1606,38.91456114,-0.148241447,0.29,0.09,0.11,0.26,0.07,0.67,4.21,0.22,0
1607,38.91465789,-0.194108258,0.17,0.26,0.07,0.47,0.14,0.46,9.53,0.34,0
1608,38.92630429,-0.35209623,2.4,0.91,1.18,0.62,2.03,1.03,27.68,3.97,0
1610,38.93252408,0.399493802,0.05,0.62,0.03,0.53,0.03,1.41,0,0,1
1611,38.95445004,0.27091145,0.51,0.14,0.18,0.36,0.56,0.33,27.35,1.11,0
1612,38.98018077,-0.272612515,0.28,0.4,0.09,0.15,0.11,0.3,29.82,1.42,1
1613,39.05374516,0.217852691,0.03,0.09,0.01,0.59,0.02,0.47,0.93,0.08,0
1614,39.11260438,0.504226171,0.04,0.12,0.01,0.63,0.04,0.19,0,0,0
1615,39.15068143,-0.286562689,0.05,0.69,0.07,0.31,0.05,0.63,0,0,0
1616,39.16055776,0.736032284,0.04,0.11,0.01,0.21,0.02,0.28,1.39,0.05,0
1617,39.16115004,-0.165936479,0.26,0.08,0.07,0.33,0.55,0.31,15.33,0.71,0
1618,39.17054553,0.578869675,0.05,0.23,0.03,0.13,0.01,0.55,2.09,0.17,0
1619,39.1888564,-0.564630864,0.1,0.21,0.03,0.32,0.07,0.32,3.94,0.23,0
1620,39.19554624,0.224348845,0.66,0.27,0.83,0.4,0,0,123.52,4.96,0
1621,39.21443576,0.2023756,0.49,0.11,0.18,0.49,0.67,0.44,30.61,1.1,0
1622,39.23843762,-0.555813842,0.15,0.12,0.06,0.37,0.25,0.3,3.92,0.21,0
1623,39.2451128,-0.062390677,2.06,0.43,3.44,0.49,0,0,58.31,4.08,0
1624,39.24919117,-0.063942319,2.54,0.21,3.73,0.35,0,0,58.31,4.08,0
1625,39.27135807,0.346478523,0.14,0.22,0.07,0.7,0.13,0.51,9.72,0.51,0
1626,39.27641349,-0.315809939,0.03,0.36,0.01,0.27,0.01,0.24,0,0,0
1627,39.27656219,0.036433663,0.02,0.08,0.01,0.38,0.01,0.08,1.99,0.09,0
1628,39.29507004,-0.255700046,0.23,0.01,0.04,0.4,0.13,0.22,9.96,0.36,0
1629,39.30754772,-0.350817158,0.09,0.21,0.02,0.38,0.02,0.17,0,0,1
1630,39.3091416,-0.308977764,0.03,0.36,0.01,0.18,0.02,0.35,2.65,0.11,0
1631,39.33141819,0.336584186,0.03,0.21,0.02,0.25,0.01,0.9,1.54,0.12,1
1632,39.33299806,-0.093367785,0.07,0.22,0.02,0.42,0.02,0.32,0,0,0
1633,39.36222669,-0.331652183,0.2,0.58,0.13,0.38,0.08,0.57,10.21,0.26,1
1634,39.38835852,-0.143555314,0.58,0.06,0.16,0.93,1.85,1.15,452.72,20.47,1
1635,39.39772718,0.105708866,0.06,0.06,0.01,0.67,0.02,0.46,0,0,0
1636,39.43340023,-0.187659317,0.57,0.31,0.2,0.17,1.06,0.3,42.59,2.63,0
1637,39.46651907,-0.13289691,0.06,0.17,0.02,0.15,0.03,0.25,0,0,1
1638,39.49098868,0.673600897,0.25,0.22,0.11,0.3,0.32,0.21,13.51,0.52,0
1639,39.50586508,-0.28082841,0.43,0.46,0.24,0.45,0.41,0.35,77.44,4.42,1
1640,39.51433453,0.632513612,0.04,0.38,0.03,0.55,0.02,0.51,1.26,0.13,0
1641,39.52812638,-0.455503075,0.38,1.14,0.11,1.61,0.19,1.15,10.07,0.52,0
1642,39.52814946,-0.185360155,0.08,0.16,0.02,0.32,0.04,0.23,0,0,0
1643,39.53641055,0.870516805,0.41,0.25,0.17,0.1,1.13,0.12,33.8,1.43,0
1644,39.5391947,0.877038702,0.12,0.36,0.08,0.27,0.16,0.58,0,0,1
1645,39.54517791,-0.366106708,1.49,0.23,0.65,0.31,1.93,0.22,10.73,1.81,0
1646,39.55078297,-0.156452367,0.12,0.08,0.03,0.54,0.05,0.15,0,0,0
1647,39.55264286,-0.428826728,0.08,0.43,0.02,0.42,0.04,0.49,6.67,0.47,0
1648,39.55275557,-0.164263478,0.17,0.11,0.08,0.12,0.03,0.88,11.47,0.55,0
1649,39.56181296,-0.429837141,0.07,0.64,0.02,0.84,0.06,0.38,7.5,0.14,0
1650,39.56298559,-0.424546353,0.17,0.08,0.04,0.38,0.16,0.25,7.5,0.14,0
1651,39.56688602,0.413166239,0.05,0.03,0.02,0.22,0.06,0.09,1.56,0.16,0
1652,39.56883802,0.012325233,0.15,1.03,0.08,0.38,0.09,0.4,8.23,0.36,1
1653,39.57531219,0.010631973,0.11,0.07,0.01,0.38,0.08,0.28,8.23,0.36,1
1654,39.58273983,-0.185730862,0.31,0.38,0.11,0.41,0.17,0.48,19.23,0.72,1
1655,39.58445505,0.005429817,0.09,0.4,0.02,0.27,0.06,0.36,0,0,0
1656,39.64882993,-0.293380891,0.63,0.24,0.25,0.28,0.76,0.13,34.83,1.22,1
1657,39.66517475,-0.154580595,0.07,0.27,0.03,0.07,0.03,0.04,0,0,0
1658,39.67214098,-0.457654307,1.47,0.13,0.45,0.43,4.51,0.13,147.97,3.93,0
1659,39.72829255,-0.397111269,1.11,1.27,1.93,0.35,7.28,0.37,76.85,2.18,0
1660,39.73223335,0.439770402,0.08,0.5,0.04,0.11,0.04,0.78,5.78,0.2,0
1661,39.83497058,-0.233751251,0.32,0.5,0.13,0.38,0.12,0.5,13.6,0.69,1
1662,39.84978538,-0.198472024,0.06,0.32,0.01,0.73,0.02,0.33,2.84,0.21,0
1663,39.85351959,-0.209031765,0.15,0.41,0.07,0.54,0.12,0.76,13.66,0.44,0
1664,39.85617101,-0.130968727,0.06,0.08,0.03,0.21,0.02,0.53,4.44,0.16,0
1665,39.86604857,0.646773154,1.38,0.28,0.97,0.42,5.55,0.2,0,0,0
1666,39.88268732,-0.346120228,2,0.15,1.08,0.35,0,0,457.14,13.37,0
1667,39.89873559,-0.075664935,0.17,0.19,0.03,0.43,0.12,0.25,6.24,0.31,0
1668,39.92849999,-0.374572067,0.77,0.08,0.31,0.27,1.8,0.25,36.86,1.87,0
1669,39.93410259,0.132971301,0.29,0.5,0.14,0.6,0.09,0.33,8.46,0.56,0
1670,39.97771478,-0.092047303,0.05,0.49,0.01,0.66,0.02,0.27,2.08,0.12,1
